minute,result,X,Y,xG,player,h_a,situation,season,shotType,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
71,SavedShot,0.870999985,0.350999985,0.047628298,Mohamed Salah,a,OpenPlay,2021,LeftFoot,Newcastle United,Liverpool,0,1,2022-04-30 11:30:00,Luis D√≠a,Cross
10,BlockedShot,0.845999985,0.349000015,0.073854104,Mohamed Salah,h,OpenPlay,2021,LeftFoot,Liverpool,Tottenham,1,1,2022-05-07 18:45:00,Sadio Man√,Pass
72,BlockedShot,0.849000015,0.455,0.119600996,Mohamed Salah,h,OpenPlay,2021,LeftFoot,Liverpool,Tottenham,1,1,2022-05-07 18:45:00,Thiago Alc√°ntar,Pass
89,BlockedShot,0.814000015,0.479000015,0.060500301,Mohamed Salah,h,OpenPlay,2021,LeftFoot,Liverpool,Tottenham,1,1,2022-05-07 18:45:00,Luis D√≠a,Pass
76,BlockedShot,0.878000031,0.49,0.127544001,Mohamed Salah,a,OpenPlay,2021,LeftFoot,Aston Villa,Liverpool,1,2,2022-05-10 19:00:00,Diogo Jota,Pass
63,MissedShots,0.923000031,0.278999996,0.034797199,Mohamed Salah,h,OpenPlay,2021,LeftFoot,Liverpool,Wolverhampton Wanderers,3,1,2022-05-22 15:00:00,,Rebound
67,BlockedShot,0.823000031,0.48,0.055869799,Mohamed Salah,h,OpenPlay,2021,LeftFoot,Liverpool,Wolverhampton Wanderers,3,1,2022-05-22 15:00:00,,None
77,SavedShot,0.878000031,0.317999992,0.051476602,Mohamed Salah,h,OpenPlay,2021,LeftFoot,Liverpool,Wolverhampton Wanderers,3,1,2022-05-22 15:00:00,Roberto Firmino,Pass
78,BlockedShot,0.841999969,0.360999985,0.058323201,Mohamed Salah,h,OpenPlay,2021,LeftFoot,Liverpool,Wolverhampton Wanderers,3,1,2022-05-22 15:00:00,Sadio Man√,Pass
83,Goal,0.978000031,0.542000008,0.691986978,Mohamed Salah,h,FromCorner,2021,LeftFoot,Liverpool,Wolverhampton Wanderers,3,1,2022-05-22 15:00:00,Joel Matip,HeadPass
88,BlockedShot,0.900999985,0.475999985,0.142387003,Mohamed Salah,h,OpenPlay,2021,LeftFoot,Liverpool,Wolverhampton Wanderers,3,1,2022-05-22 15:00:00,Trent Alexander-Arnold,Pass
91,SavedShot,0.935,0.442999992,0.063157402,Mohamed Salah,h,OpenPlay,2021,Head,Liverpool,Wolverhampton Wanderers,3,1,2022-05-22 15:00:00,,None
92,BlockedShot,0.844000015,0.415,0.069495499,Mohamed Salah,h,OpenPlay,2021,LeftFoot,Liverpool,Wolverhampton Wanderers,3,1,2022-05-22 15:00:00,Trent Alexander-Arnold,None
21,MissedShots,0.929000015,0.359000015,0.0168778,Mohamed Salah,a,OpenPlay,2022,Head,Fulham,Liverpool,2,2,2022-08-06 11:30:00,Trent Alexander-Arnold,Cross
79,Goal,0.920999985,0.48,0.374899,Mohamed Salah,a,OpenPlay,2022,LeftFoot,Fulham,Liverpool,2,2,2022-08-06 11:30:00,Darwin N√∫√±,BallTouch
22,MissedShots,0.890999985,0.437000008,0.091772497,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Crystal Palace,1,1,2022-08-15 19:00:00,Trent Alexander-Arnold,Cross
29,SavedShot,0.920999985,0.462999992,0.399868995,Mohamed Salah,h,OpenPlay,2022,Head,Liverpool,Crystal Palace,1,1,2022-08-15 19:00:00,Trent Alexander-Arnold,Throughball
